_id,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
317168,GO-20222185574,11/9/2022,10/18/2022,2022,November,9,313,Wednesday ,11,2022,October,18,291,Tuesday   ,12,D23,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,1,West Humber-Clairville (1),1,West Humber-Clairville (1),-79.59769483,43.69150459
33608,GO-201572386,1/14/2015,1/13/2015,2015,January,14,14,Wednesday ,11,2015,January,13,13,Tuesday   ,12,D43,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,136,West Hill (136),136,West Hill (136),-79.18928641,43.77652209
373703,GO-202442134,1/6/2024,1/6/2024,2024,January,6,6,Saturday  ,15,2024,January,6,6,Saturday  ,15,D51,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,168,Downtown Yonge East (168),75,Church-Yonge Corridor (75),-79.38208705,43.6605698
205995,GO-20192172604,11/10/2019,11/8/2019,2019,November,10,314,Sunday    ,10,2019,November,8,312,Friday    ,20,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),-79.39456855,43.70307572
344204,GO-20231311793,6/8/2023,6/8/2023,2023,June,8,159,Thursday  ,17,2023,June,8,159,Thursday  ,17,D41,Ttc Subway Station,Transit,1430,100,Assault,Assault,121,Oakridge (121),121,Oakridge (121),-79.29019206,43.69338422
4796,GO-20141621683,3/1/2014,3/1/2014,2014,March,1,60,Saturday  ,16,2014,March,1,60,Saturday  ,15,D31,"Apartment (Rooming House, Condo)",Apartment,1610,150,Robbery - Purse Snatch,Robbery,21,Humber Summit (21),21,Humber Summit (21),-79.55947199,43.75072249
198327,GO-20191700364,9/5/2019,9/1/2019,2019,September,5,248,Thursday  ,14,2019,September,1,244,Sunday    ,0,D33,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,43,Victoria Village (43),43,Victoria Village (43),-79.32468285,43.74078662
204875,GO-20192102758,10/31/2019,10/29/2019,2019,October,31,304,Thursday  ,11,2019,October,29,302,Tuesday   ,19,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,166,St Lawrence-East Bayfront-The Islands ,77,Waterfront Communities-The Island (77),-79.36213436,43.65018529
379383,GO-2024365282,2/17/2024,2/17/2024,2024,February,17,48,Saturday  ,18,2024,February,17,48,Saturday  ,18,D52,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,1420,100,Assault With Weapon,Assault,166,St Lawrence-East Bayfront-The Islands ,77,Waterfront Communities-The Island (77),-79.37908774,43.64591719
183559,GO-2019787734,5/1/2019,5/1/2019,2019,May,1,121,Wednesday ,20,2019,May,1,121,Wednesday ,20,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1610,220,Robbery - Other,Robbery,126,Dorset Park (126),126,Dorset Park (126),-79.2810966,43.76582074
199101,GO-20191750257,9/12/2019,9/12/2019,2019,September,12,255,Thursday  ,11,2019,September,12,255,Thursday  ,11,D11,"Group Homes (Non-Profit, Halfway House, Social Agency)",Other,1430,100,Assault,Assault,171,Junction-Wallace Emerson (171),93,Dovercourt-Wallace Emerson-Junction (93),-79.44272492,43.65835371
392409,GO-20241154296,5/28/2024,6/3/2022,2024,May,28,149,Tuesday   ,14,2022,June,3,154,Friday    ,0,D52,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,NSA,NSA,NSA,NSA,,
77603,GO-2016856247,5/18/2016,5/18/2016,2016,May,18,139,Wednesday ,16,2016,May,18,139,Wednesday ,15,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2120,200,B&E,Break and Enter,8,Humber Heights-Westmount (8),8,Humber Heights-Westmount (8),-79.51877267,43.69516388
361615,GO-20232365112,10/11/2023,10/11/2023,2023,October,11,284,Wednesday ,12,2023,October,11,284,Wednesday ,12,D31,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,23,Pelmo Park-Humberlea (23),23,Pelmo Park-Humberlea (23),-79.53542118,43.73434745
420047,GO-20242811356,12/30/2024,12/30/2024,2024,December,30,365,Monday    ,15,2024,December,30,365,Monday    ,12,D42,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,130,Milliken (130),130,Milliken (130),-79.27687792,43.82750045
345108,GO-20231378081,6/15/2023,6/15/2023,2023,June,15,166,Thursday  ,23,2023,June,15,166,Thursday  ,5,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,98,Rosedale-Moore Park (98),98,Rosedale-Moore Park (98),-79.38305878,43.68940776
141637,GO-2018499112,3/19/2018,3/19/2018,2018,March,19,78,Monday    ,13,2018,March,19,78,Monday    ,12,D33,Ttc Bus,Transit,1430,100,Assault,Assault,150,Fenside-Parkwoods (150),45,Parkwoods-Donalda (45),-79.32199497,43.76011472
308146,GO-20221656113,8/27/2022,8/27/2022,2022,August,27,239,Saturday  ,1,2022,August,27,239,Saturday  ,1,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1610,200,Robbery - Mugging,Robbery,42,Banbury-Don Mills (42),42,Banbury-Don Mills (42),-79.34364412,43.74026981
71384,GO-2016416803,3/10/2016,3/10/2016,2016,March,10,70,Thursday  ,4,2016,March,10,70,Thursday  ,4,D23,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,1430,100,Assault,Assault,1,West Humber-Clairville (1),1,West Humber-Clairville (1),-79.60420741,43.70602654
381382,GO-2024483656,3/4/2024,3/4/2024,2024,March,4,64,Monday    ,12,2024,March,4,64,Monday    ,5,D41,Bar / Restaurant,Commercial,2120,220,B&E W'Intent,Break and Enter,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.262678,43.7162417
374488,GO-202487947,1/12/2024,11/15/2023,2024,January,12,12,Friday    ,15,2023,November,15,319,Wednesday ,0,D32,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,33,Clanton Park (33),33,Clanton Park (33),-79.43466622,43.74002156
274900,GO-20212044867,10/24/2021,10/24/2021,2021,October,24,297,Sunday    ,8,2021,October,24,297,Sunday    ,8,D14,Ttc Subway Station,Transit,1430,100,Assault,Assault,172,Dovercourt Village (172),93,Dovercourt-Wallace Emerson-Junction (93),-79.42565333,43.66198241
418882,GO-20242736531,12/19/2024,11/12/2024,2024,December,19,354,Thursday  ,9,2024,November,12,317,Tuesday   ,12,D51,Schools During Supervised Activity,Educational,1430,100,Assault,Assault,72,Regent Park (72),72,Regent Park (72),-79.36130216,43.6591195
302178,GO-20221294363,7/7/2022,7/7/2022,2022,July,7,188,Thursday  ,20,2022,July,7,188,Thursday  ,12,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,36,Newtonbrook West (36),36,Newtonbrook West (36),-79.41599034,43.781633
40622,GO-2015603083,4/12/2015,4/12/2015,2015,April,12,102,Sunday    ,8,2015,April,12,102,Sunday    ,8,D41,Ttc Bus Stop / Shelter / Loop,Outside,1610,200,Robbery - Mugging,Robbery,124,Kennedy Park (124),124,Kennedy Park (124),-79.25561783,43.73509528
79256,GO-2016967478,6/4/2016,6/4/2016,2016,June,4,156,Saturday  ,2,2016,June,4,156,Saturday  ,1,D55,"Open Areas (Lakes, Parks, Rivers)",Outside,1610,200,Robbery - Mugging,Robbery,70,South Riverdale (70),70,South Riverdale (70),-79.30969813,43.66336589
228784,GO-20201202066,6/30/2020,6/29/2020,2020,June,30,182,Tuesday   ,6,2020,June,29,181,Monday    ,21,D31,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,27,York University Heights (27),27,York University Heights (27),-79.50524881,43.76623228
342638,GO-20231209276,5/29/2023,5/25/2023,2023,May,29,149,Monday    ,10,2023,May,25,145,Thursday  ,12,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,79,University (79),79,University (79),-79.40783724,43.66362641
163454,GO-20181930585,10/19/2018,10/19/2018,2018,October,19,292,Friday    ,13,2018,October,19,292,Friday    ,0,D52,Bar / Restaurant,Commercial,2120,200,B&E,Break and Enter,170,Yonge-Bay Corridor (170),76,Bay Street Corridor (76),-79.37971194,43.64733019
278860,GO-20212305901,11/30/2021,11/29/2021,2021,November,30,334,Tuesday   ,7,2021,November,29,333,Monday    ,16,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,138,Eglinton East (138),138,Eglinton East (138),-79.24553345,43.73991828
128274,GO-20171991486,11/3/2017,11/3/2017,2017,November,3,307,Friday    ,13,2017,November,3,307,Friday    ,11,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,Assault,88,High Park North (88),88,High Park North (88),-79.47509993,43.65763737
249397,GO-2021212441,2/2/2021,2/2/2021,2021,February,2,33,Tuesday   ,23,2021,February,2,33,Tuesday   ,23,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1450,120,Discharge Firearm With Intent,Assault,72,Regent Park (72),72,Regent Park (72),-79.36178286,43.6603626
130227,GO-20173039299,11/21/2017,11/17/2017,2017,November,21,325,Tuesday   ,13,2017,November,17,321,Friday    ,23,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,Break and Enter,78,Kensington-Chinatown (78),78,Kensington-Chinatown (78),-79.39654024,43.64943899
274113,GO-20211989537,10/16/2021,10/5/2021,2021,October,16,289,Saturday  ,13,2021,October,5,278,Tuesday   ,1,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2120,200,B&E,Break and Enter,164,Wellington Place (164),77,Waterfront Communities-The Island (77),-79.39341244,43.64937099
370361,GO-20232849037,12/11/2023,12/11/2023,2023,December,11,345,Monday    ,17,2023,December,11,345,Monday    ,13,D31,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,154,Oakdale-Beverley Heights (154),26,Downsview-Roding-CFB (26),-79.49110465,43.72463445
350837,GO-20231736518,7/26/2023,7/20/2023,2023,July,26,207,Wednesday ,9,2023,July,20,201,Thursday  ,19,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,161,Humber Bay Shores (161),17,Mimico (includes Humber Bay Shores) (17),-79.48568571,43.62545188
68824,GO-2016242430,2/10/2016,2/10/2016,2016,February,10,41,Wednesday ,6,2016,February,10,41,Wednesday ,6,D43,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,136,West Hill (136),136,West Hill (136),-79.17393621,43.7711708
192417,GO-20191330042,7/16/2019,7/16/2019,2019,July,16,197,Tuesday   ,7,2019,July,16,197,Tuesday   ,7,D52,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,169,Bay-Cloverhill (169),76,Bay Street Corridor (76),-79.38609285,43.6615659
350979,GO-20231746576,7/27/2023,7/27/2023,2023,July,27,208,Thursday  ,12,2023,July,27,208,Thursday  ,12,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1420,100,Assault With Weapon,Assault,164,Wellington Place (164),77,Waterfront Communities-The Island (77),-79.40187233,43.64192228
63556,GO-20152123346,12/11/2015,5/1/2015,2015,December,11,345,Friday    ,17,2015,May,1,121,Friday    ,15,NSA,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,NSA,NSA,NSA,NSA,,
301514,GO-20221246734,7/1/2022,7/1/2022,2022,July,1,182,Friday    ,1,2022,July,1,182,Friday    ,1,D14,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,163,Fort York-Liberty Village (163),82,Niagara (82),-79.41592023,43.63903208
281634,GO-20212506095,12/29/2021,11/8/2021,2021,December,29,363,Wednesday ,20,2021,November,8,312,Monday    ,19,D14,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,80,Palmerston-Little Italy (80),80,Palmerston-Little Italy (80),-79.42187353,43.65903101
396388,GO-20241405598,6/27/2024,6/27/2024,2024,June,27,179,Thursday  ,22,2024,June,27,179,Thursday  ,22,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,165,Harbourfront-CityPlace (165),77,Waterfront Communities-The Island (77),-79.38542834,43.63898848
122267,GO-20171599737,9/4/2017,9/4/2017,2017,September,4,247,Monday    ,7,2017,September,4,247,Monday    ,5,D42,Bar / Restaurant,Commercial,2120,220,B&E W'Intent,Break and Enter,128,Agincourt South-Malvern West (128),128,Agincourt South-Malvern West (128),-79.26931762,43.78741166
214089,GO-2020169951,1/25/2020,1/25/2020,2020,January,25,25,Saturday  ,7,2020,January,25,25,Saturday  ,5,D23,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,6,Kingsview Village-The Westway (6),6,Kingsview Village-The Westway (6),-79.55215096,43.69578968
98299,GO-20162274767,12/24/2016,12/24/2016,2016,December,24,359,Saturday  ,3,2016,December,24,359,Saturday  ,3,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,Assault,138,Eglinton East (138),138,Eglinton East (138),-79.25813642,43.73455458
265406,GO-20211411548,7/27/2021,7/25/2021,2021,July,27,208,Tuesday   ,9,2021,July,25,206,Sunday    ,13,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,95,Annex (95),95,Annex (95),-79.40529134,43.67030781
80277,GO-20161048175,6/16/2016,6/16/2016,2016,June,16,168,Thursday  ,10,2016,June,16,168,Thursday  ,10,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1480,100,Assault - Resist/ Prevent Seiz,Assault,91,Weston-Pelham Park (91),91,Weston-Pelham Park (91),-79.45953222,43.67040354
145747,GO-2018788919,5/2/2018,5/2/2018,2018,May,2,122,Wednesday ,19,2018,May,2,122,Wednesday ,19,D54,"Apartment (Rooming House, Condo)",Apartment,1430,100,Assault,Assault,43,Victoria Village (43),43,Victoria Village (43),-79.30057066,43.71970287
134096,GO-2018318,1/1/2018,1/1/2018,2018,January,1,1,Monday    ,0,2018,January,1,1,Monday    ,0,D41,Ttc Subway Station,Transit,1420,110,Assault Bodily Harm,Assault,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.28093218,43.71201709
239763,GO-20201951225,10/14/2020,10/14/2020,2020,October,14,288,Wednesday ,13,2020,October,14,288,Wednesday ,6,D12,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.4767409,43.68160471
177278,GO-2019381666,3/1/2019,2/28/2019,2019,March,1,60,Friday    ,13,2019,February,28,59,Thursday  ,10,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,166,St Lawrence-East Bayfront-The Islands ,77,Waterfront Communities-The Island (77),-79.37154665,43.64764839
405024,GO-20241916400,9/1/2024,9/1/2024,2024,September,1,245,Sunday    ,13,2024,September,1,245,Sunday    ,13,D42,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,1430,100,Assault,Assault,147,L'Amoreaux West (147),117,L'Amoreaux (117),-79.33094578,43.79747129
282672,GO-202261972,1/10/2022,12/5/2021,2022,January,10,10,Monday    ,19,2021,December,5,339,Sunday    ,19,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,134,Highland Creek (134),134,Highland Creek (134),-79.1704137,43.79471559
394856,GO-20241307812,6/16/2024,6/12/2024,2024,June,16,168,Sunday    ,9,2024,June,12,164,Wednesday ,12,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,1430,100,Assault,Assault,12,Markland Wood (12),12,Markland Wood (12),-79.5820547,43.63058904
189631,GO-20191164583,6/23/2019,6/22/2019,2019,June,23,174,Sunday    ,13,2019,June,22,173,Saturday  ,17,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,1430,100,Assault,Assault,170,Yonge-Bay Corridor (170),76,Bay Street Corridor (76),-79.38600144,43.65523619
307137,GO-20221634760,8/19/2022,8/19/2022,2022,August,19,231,Friday    ,14,2022,August,19,231,Friday    ,7,D52,Ttc Subway Station,Transit,1460,100,Assault Peace Officer,Assault,168,Downtown Yonge East (168),75,Church-Yonge Corridor (75),-79.38091295,43.6563248
